elements,blocks,threadsPerBlock,GPU
10000000, 64, 128, 0.001184
10000000, 64, 200, 0.001471
10000000, 64, 256, 0.001652
10000000, 64, 400, 0.002253
10000000, 64, 512, 0.002561
10000000, 64, 750, 0.003693
10000000, 64, 1024, 0.004679
10000000, 128, 32, 0.001098
10000000, 128, 50, 0.001117
10000000, 128, 64, 0.001205
10000000, 128, 100, 0.001394
10000000, 128, 128, 0.001619
10000000, 128, 200, 0.002130
10000000, 128, 256, 0.002574
10000000, 128, 400, 0.003499
10000000, 128, 512, 0.004630
10000000, 128, 750, 0.005487
10000000, 128, 1024, 0.006822
10000000, 256, 32, 0.001215
10000000, 256, 50, 0.001354
10000000, 256, 64, 0.001574
10000000, 256, 100, 0.002087
10000000, 256, 128, 0.002573
10000000, 256, 200, 0.003678
10000000, 256, 256, 0.004534
10000000, 256, 400, 0.005883
10000000, 256, 512, 0.006985
10000000, 256, 750, 0.009501
10000000, 256, 1024, 0.012530
10000000, 512, 32, 0.001700
10000000, 512, 50, 0.002147
10000000, 512, 64, 0.002651
10000000, 512, 100, 0.003627
10000000, 512, 128, 0.004830
10000000, 512, 200, 0.006082
10000000, 512, 256, 0.007221
10000000, 512, 400, 0.010511
10000000, 512, 512, 0.013264
10000000, 512, 750, 0.017251
10000000, 512, 1024, 0.023890
10000000, 1024, 32, 0.002732
10000000, 1024, 50, 0.004141
10000000, 1024, 64, 0.005012
10000000, 1024, 100, 0.006634
10000000, 1024, 128, 0.007739
10000000, 1024, 200, 0.011030
10000000, 1024, 256, 0.014047
10000000, 1024, 400, 0.019750
10000000, 1024, 512, 0.025035
10000000, 1024, 750, 0.035578
10000000, 1024, 1024, 0.046997
10000000, 2048, 32, 0.000523
10000000, 2048, 50, 0.000540
10000000, 2048, 64, 0.000530
10000000, 2048, 100, 0.000520
10000000, 2048, 128, 0.000531
10000000, 2048, 200, 0.000528
10000000, 2048, 256, 0.000518
10000000, 2048, 400, 0.000532
10000000, 2048, 512, 0.000523
10000000, 2048, 750, 0.000525
10000000, 2048, 1024, 0.000521
10000000, 4096, 32, 0.000535
10000000, 4096, 50, 0.000543
10000000, 4096, 64, 0.000532
10000000, 4096, 100, 0.000528
10000000, 4096, 128, 0.000524
10000000, 4096, 200, 0.000520
10000000, 4096, 256, 0.000509
10000000, 4096, 400, 0.000531
10000000, 4096, 512, 0.000522
10000000, 4096, 750, 0.000528
10000000, 4096, 1024, 0.000526
10000000, 8192, 32, 0.000530
10000000, 8192, 50, 0.000511
10000000, 8192, 64, 0.000515
10000000, 8192, 100, 0.000519
10000000, 8192, 128, 0.000526
10000000, 8192, 200, 0.000518
10000000, 8192, 256, 0.000518
10000000, 8192, 400, 0.000523
10000000, 8192, 512, 0.000515
10000000, 8192, 750, 0.000520
10000000, 8192, 1024, 0.000526
10000000, 16384, 32, 0.000538
10000000, 16384, 50, 0.000517
10000000, 16384, 64, 0.000521
10000000, 16384, 100, 0.000518
10000000, 16384, 128, 0.000514
10000000, 16384, 200, 0.000515
10000000, 16384, 256, 0.000516
10000000, 16384, 400, 0.000533
10000000, 16384, 512, 0.000536
10000000, 16384, 750, 0.000529
10000000, 16384, 1024, 0.000519
10000000, 32768, 32, 0.000515
10000000, 32768, 50, 0.000519
10000000, 32768, 64, 0.000520
10000000, 32768, 100, 0.000528
10000000, 32768, 128, 0.000520
10000000, 32768, 200, 0.000514
10000000, 32768, 256, 0.000521
10000000, 32768, 400, 0.000521
10000000, 32768, 512, 0.000516
10000000, 32768, 750, 0.000527
10000000, 32768, 1024, 0.000521
10000000, 32, 32, 0.001192
10000000, 32, 50, 0.001079
10000000, 32, 64, 0.001036
10000000, 32, 100, 0.000989
10000000, 32, 128, 0.001039
10000000, 32, 200, 0.001052
10000000, 32, 256, 0.001114
10000000, 32, 400, 0.001287
10000000, 32, 512, 0.001504
10000000, 32, 750, 0.001838
10000000, 32, 1024, 0.002342
10000000, 64, 32, 0.001048
10000000, 64, 50, 0.001008
10000000, 64, 64, 0.001027
10000000, 64, 100, 0.001051
10000000, 64, 128, 0.001118
10000000, 64, 200, 0.001300
10000000, 64, 256, 0.001523
10000000, 64, 400, 0.001940
10000000, 64, 512, 0.002391
10000000, 64, 750, 0.003218
10000000, 64, 1024, 0.004224
10000000, 128, 32, 0.001026
10000000, 128, 50, 0.001053
10000000, 128, 64, 0.001095
10000000, 128, 100, 0.001291
10000000, 128, 128, 0.001474
10000000, 128, 200, 0.001913
10000000, 128, 256, 0.002401
10000000, 128, 400, 0.003331
10000000, 128, 512, 0.004227
10000000, 128, 750, 0.004658
10000000, 128, 1024, 0.006144
10000000, 256, 32, 0.001150
10000000, 256, 50, 0.001269
10000000, 256, 64, 0.001484
10000000, 256, 100, 0.001850
10000000, 256, 128, 0.002336
10000000, 256, 200, 0.003281
