elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,512,400,0.017846,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,512,0.018295,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,750,0.018176,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,1024,0.018381,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,32,0.005692,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,50,0.005397,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,64,0.00573,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,100,0.011892,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,128,0.019311,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,200,0.018315,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,256,0.018363,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,400,0.01853,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,512,0.018311,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,750,0.01853,11268608,1635000,68,3,352,7000000,5767168,1024
10000,1024,1024,0.018469,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,32,0.004577,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,50,0.004273,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,64,0.004867,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,100,0.004402,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,128,0.004553,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,200,0.004819,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,256,0.004673,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,400,0.004652,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,512,0.004507,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,750,0.00487,11268608,1635000,68,3,352,7000000,5767168,1024
10000,2048,1024,0.004675,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,32,0.004368,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,50,0.004423,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,64,0.00425,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,100,0.0043,11268608,1635000,68,3,352,7000000,5767168,1024
