elements,TILE_WIDTH,threadsPerBlock,blocks,GPU
100000,50,2500,4000000,0.768246
100000,50,2500,4000000,0.773045
100000,50,2500,4000000,0.806976
100000,50,2500,4000000,0.798355
100000,50,2500,4000000,0.770418
100000,50,2500,4000000,0.778109
100000,50,2500,4000000,0.772300
100000,50,2500,4000000,0.774131
100000,50,2500,4000000,0.782527
100000,50,2500,4000000,0.781140
100000,50,2500,4000000,0.820140
100000,50,2500,4000000,0.754676
100000,50,2500,4000000,0.788025
100000,50,2500,4000000,0.775135
100000,50,2500,4000000,0.799644
100000,64,4096,2442969,0.822535
100000,64,4096,2442969,0.785493
100000,64,4096,2442969,0.860563
100000,64,4096,2442969,0.788587
100000,64,4096,2442969,0.842901
100000,64,4096,2442969,0.785220
100000,64,4096,2442969,0.814481
100000,64,4096,2442969,0.838808
100000,64,4096,2442969,0.879439
100000,64,4096,2442969,1.226434
100000,64,4096,2442969,0.874027
100000,64,4096,2442969,0.816289
100000,64,4096,2442969,12.613641
100000,64,4096,2442969,114.627532
100000,64,4096,2442969,45.535241
100000,64,4096,2442969,0.760499
100000,64,4096,2442969,116.636155
100000,64,4096,2442969,111.266567
100000,64,4096,2442969,110.749530
100000,64,4096,2442969,114.634696
100000,90,8100,1236544,0.783851
100000,90,8100,1236544,0.785741
100000,90,8100,1236544,0.785712
100000,90,8100,1236544,0.864820
100000,90,8100,1236544,0.770388
100000,90,8100,1236544,0.771744
100000,90,8100,1236544,0.792445
100000,90,8100,1236544,0.778276
100000,90,8100,1236544,0.786691
100000,90,8100,1236544,0.788304
100000,90,8100,1236544,0.831496
100000,90,8100,1236544,4.041057
100000,90,8100,1236544,114.691658
100000,90,8100,1236544,0.853005
100000,90,8100,1236544,0.785966
100000,90,8100,1236544,0.826663
100000,90,8100,1236544,0.808565
100000,90,8100,1236544,0.776775
100000,90,8100,1236544,0.778615
100000,90,8100,1236544,0.813791
100000,128,16384,611524,0.817311
100000,128,16384,611524,0.776882
100000,128,16384,611524,0.792916
100000,128,16384,611524,0.831223
100000,128,16384,611524,0.818389
100000,128,16384,611524,0.777961
100000,128,16384,611524,0.815056
100000,128,16384,611524,0.791528
100000,128,16384,611524,0.788261
100000,128,16384,611524,0.781643
100000,128,16384,611524,0.787786
100000,128,16384,611524,0.769279
100000,128,16384,611524,0.789249
100000,128,16384,611524,0.766794
100000,128,16384,611524,0.796648
100000,128,16384,611524,0.800018
100000,128,16384,611524,0.780181
100000,128,16384,611524,0.769850
100000,128,16384,611524,0.792155
100000,128,16384,611524,0.768200
100000,150,22500,444889,0.793840
100000,150,22500,444889,0.866407
100000,150,22500,444889,0.886259
100000,150,22500,444889,0.832393
100000,150,22500,444889,0.808973
100000,150,22500,444889,0.796637
100000,150,22500,444889,0.803435
100000,150,22500,444889,0.798644
100000,150,22500,444889,0.857440
100000,150,22500,444889,0.779398
100000,150,22500,444889,0.781418
100000,150,22500,444889,0.806836
100000,150,22500,444889,0.820107
100000,150,22500,444889,0.774133
100000,150,22500,444889,0.880587
100000,150,22500,444889,0.803217
100000,150,22500,444889,0.841068
100000,150,22500,444889,0.791174
100000,150,22500,444889,0.770694
100000,150,22500,444889,0.814307
100000,192,36864,271441,0.799873
100000,192,36864,271441,0.783049
100000,192,36864,271441,0.781470
100000,192,36864,271441,0.777864
100000,192,36864,271441,0.814214
100000,192,36864,271441,0.822834
100000,192,36864,271441,0.825237
100000,192,36864,271441,0.780386
100000,192,36864,271441,0.809808
100000,192,36864,271441,0.772309
100000,192,36864,271441,0.779041
100000,192,36864,271441,0.772514
100000,192,36864,271441,0.777820
100000,192,36864,271441,0.770343
100000,192,36864,271441,0.784970
100000,192,36864,271441,0.776581
100000,192,36864,271441,0.916207
100000,192,36864,271441,0.792278
100000,192,36864,271441,0.798938
100000,192,36864,271441,0.789218
