elements,clusters,Iterations,blocks,threadsPerBlock,GPU
100000,10,78,256,400,0.114266
100000,10,77,256,512,0.11629
100000,10,78,256,750,0.114006
100000,10,77,256,1024,0.113862
100000,10,57,512,32,0.104102
100000,10,57,512,50,0.104788
100000,10,57,512,64,0.105873
100000,10,52,512,100,0.10283
100000,10,57,512,128,0.106152
100000,10,53,512,200,0.103284
100000,10,103,512,256,0.124931
100000,10,109,512,400,0.128786
100000,10,111,512,512,0.131984
100000,10,112,512,750,0.128409
100000,10,108,512,1024,0.127463
100000,10,133,1024,32,0.138245
100000,10,134,1024,50,0.138078
100000,10,133,1024,64,0.143799
100000,10,134,1024,100,0.138283
100000,10,53,1024,128,0.104797
100000,10,53,1024,200,0.103832
100000,10,53,1024,256,0.105848
100000,10,53,1024,400,0.103882
100000,10,53,1024,512,0.104684
100000,10,54,1024,750,0.105472
100000,10,54,1024,1024,0.104344
100000,10,54,2048,32,0.104389
100000,10,54,2048,50,0.104285
100000,10,63,2048,64,0.108798
100000,10,62,2048,100,0.1071
100000,10,62,2048,128,0.108967
100000,10,62,2048,200,0.108284
100000,10,63,2048,256,0.109175
100000,10,62,2048,400,0.108748
100000,10,64,2048,512,0.109752
100000,10,64,2048,750,0.112562
100000,10,63,2048,1024,0.109241
100000,10,67,4096,32,0.109359
100000,10,67,4096,50,0.109496
100000,10,67,4096,64,0.112297
100000,10,67,4096,100,0.11106
100000,10,67,4096,128,0.10955
100000,10,67,4096,200,0.110747
100000,10,78,4096,256,0.115066
100000,10,77,4096,400,0.115472
100000,10,75,4096,512,0.116578
100000,10,77,4096,750,0.11544
100000,10,77,4096,1024,0.116028
100000,10,107,8192,32,0.127419
100000,10,107,8192,50,0.128124
100000,10,107,8192,64,0.131745
100000,10,108,8192,100,0.127632
100000,10,107,8192,128,0.130737
100000,10,73,8192,200,0.112556
100000,10,70,8192,256,0.111974
100000,10,73,8192,400,0.114184
100000,10,72,8192,512,0.114459
100000,10,73,8192,750,0.114711
100000,10,57,8192,1024,0.108015
100000,10,57,16384,32,0.108338
100000,10,57,16384,50,0.107152
100000,10,57,16384,64,0.10762
100000,10,57,16384,100,0.106991
100000,10,81,16384,128,0.12021
100000,10,81,16384,200,0.118066
100000,10,81,16384,256,0.118248
100000,10,81,16384,400,0.119031
100000,10,64,16384,512,0.112191
100000,10,64,16384,750,0.115917
100000,10,64,16384,1024,0.118214
100000,10,64,32768,32,0.11065
100000,10,64,32768,50,0.111611
100000,10,65,32768,64,0.113927
100000,10,74,32768,100,0.118626
100000,10,74,32768,128,0.119443
100000,10,74,32768,200,0.118989
100000,10,74,32768,256,0.117368
100000,10,74,32768,400,0.119353
100000,10,57,32768,512,0.114386
100000,10,57,32768,750,0.12226
100000,10,56,32768,1024,0.123441
100000,10,57,32,32,0.115814
100000,10,57,32,50,0.105917
100000,10,53,32,64,0.107511
100000,10,53,32,100,0.103709
100000,10,53,32,128,0.103106
100000,10,50,32,200,0.101952
100000,10,80,32,256,0.113076
100000,10,80,32,400,0.113194
100000,10,80,32,512,0.114145
100000,10,68,32,750,0.110997
100000,10,68,32,1024,0.109473
100000,10,68,64,32,0.110243
100000,10,50,64,50,0.102209
100000,10,50,64,64,0.101777
100000,10,50,64,100,0.10264
100000,10,59,64,128,0.105281
100000,10,59,64,200,0.105285
100000,10,57,64,256,0.103442
100000,10,84,64,400,0.115899
100000,10,85,64,512,0.116933
100000,10,85,64,750,0.116884
100000,10,51,64,1024,0.106493
100000,10,51,128,32,0.103432
100000,10,51,128,50,0.102208
100000,10,67,128,64,0.108223
100000,10,67,128,100,0.108029
100000,10,67,128,128,0.109625
100000,10,67,128,200,0.108257
100000,10,73,128,256,0.111554
100000,10,74,128,400,0.111654
100000,10,74,128,512,0.113709
100000,10,73,128,750,0.110648
100000,10,73,128,1024,0.112658
100000,10,74,256,32,0.111748
100000,10,69,256,50,0.10909
100000,10,68,256,64,0.108437
100000,10,68,256,100,0.109159
100000,10,69,256,128,0.111664
100000,10,69,256,200,0.110228
100000,10,69,256,256,0.110775
100000,10,53,256,400,0.102835
100000,10,56,256,512,0.106306
100000,10,58,256,750,0.10483
100000,10,53,256,1024,0.103424
100000,10,58,512,32,0.105193
100000,10,53,512,50,0.103092
100000,10,53,512,64,0.104186
100000,10,70,512,100,0.111142
100000,10,71,512,128,0.114162
100000,10,71,512,200,0.110926
100000,10,70,512,256,0.111589
100000,10,70,512,400,0.110333
100000,10,70,512,512,0.112861
100000,10,70,512,750,0.110668
100000,10,70,512,1024,0.11087
100000,10,70,1024,32,0.110527
100000,10,70,1024,50,0.11013
100000,10,71,1024,64,0.113213
100000,10,70,1024,100,0.109948
100000,10,128,1024,128,0.136929
100000,10,136,1024,200,0.139611
100000,10,130,1024,256,0.141737
100000,10,128,1024,400,0.136472
100000,10,128,1024,512,0.139563
100000,10,86,1024,750,0.118537
100000,10,86,1024,1024,0.118348
100000,10,87,2048,32,0.117167
100000,10,86,2048,50,0.11753
100000,10,87,2048,64,0.120074
100000,10,86,2048,100,0.116742
100000,10,72,2048,128,0.112799
100000,10,72,2048,200,0.111424
100000,10,72,2048,256,0.112638
100000,10,72,2048,400,0.1117
100000,10,72,2048,512,0.113035
100000,10,72,2048,750,0.112832
100000,10,75,2048,1024,0.113739
100000,10,75,4096,32,0.113849
100000,10,75,4096,50,0.112869
100000,10,75,4096,64,0.115399
100000,10,75,4096,100,0.112115
100000,10,75,4096,128,0.113759
100000,10,66,4096,200,0.110327
100000,10,66,4096,256,0.115155
100000,10,65,4096,400,0.11007
100000,10,66,4096,512,0.110808
100000,10,66,4096,750,0.111299
100000,10,66,4096,1024,0.11339
100000,10,52,8192,32,0.10705
100000,10,52,8192,50,0.102665
100000,10,51,8192,64,0.103186
100000,10,52,8192,100,0.10428
100000,10,52,8192,128,0.104284
100000,10,52,8192,200,0.10443
100000,10,70,8192,256,0.111999
100000,10,70,8192,400,0.112476
100000,10,67,8192,512,0.112086
100000,10,70,8192,750,0.113256
100000,10,70,8192,1024,0.114203
100000,10,70,16384,32,0.112028
100000,10,55,16384,50,0.105822
100000,10,52,16384,64,0.105929
100000,10,53,16384,100,0.105343
100000,10,52,16384,128,0.105205
100000,10,53,16384,200,0.104117
100000,10,52,16384,256,0.106475
100000,10,53,16384,400,0.11288
100000,10,66,16384,512,0.112836
100000,10,66,16384,750,0.116534
100000,10,66,16384,1024,0.118415
100000,10,65,32768,32,0.111992
100000,10,65,32768,50,0.111558
100000,10,63,32768,64,0.111809
100000,10,63,32768,100,0.110304
100000,10,63,32768,128,0.110793
100000,10,63,32768,200,0.110115
100000,10,63,32768,256,0.114631
100000,10,63,32768,400,0.116544
100000,10,106,32768,512,0.144441
100000,10,106,32768,750,0.157853
100000,10,106,32768,1024,0.161203
100000,10,106,32,32,0.151318
100000,10,106,32,50,0.125387
100000,10,54,32,64,0.106289
100000,10,53,32,100,0.103081
100000,10,54,32,128,0.10248
100000,10,53,32,200,0.102946
100000,10,53,32,256,0.101707
100000,10,54,32,400,0.102924
100000,10,53,32,512,0.101348
100000,10,82,32,750,0.114068
100000,10,86,32,1024,0.116592
100000,10,82,64,32,0.114822
100000,10,81,64,50,0.114342
100000,10,82,64,64,0.11455
100000,10,82,64,100,0.113236
100000,10,165,64,128,0.146387
100000,10,165,64,200,0.147282
100000,10,165,64,256,0.148958
100000,10,164,64,400,0.147552
100000,10,164,64,512,0.14966
100000,10,92,64,750,0.123105
100000,10,92,64,1024,0.120105
100000,10,92,128,32,0.118781
100000,10,92,128,50,0.117877
100000,10,92,128,64,0.117433
100000,10,52,128,100,0.101599
100000,10,52,128,128,0.101703
100000,10,52,128,200,0.102257
100000,10,52,128,256,0.105718
100000,10,52,128,400,0.103402
100000,10,52,128,512,0.104448
100000,10,52,128,750,0.10265
100000,10,61,128,1024,0.106342
100000,10,61,256,32,0.104759
100000,10,61,256,50,0.111855
100000,10,61,256,64,0.107709
100000,10,61,256,100,0.10991
100000,10,61,256,128,0.110635
100000,10,72,256,200,0.115968
100000,10,72,256,256,0.121104
100000,10,72,256,400,0.116366
100000,10,72,256,512,0.118613
100000,10,72,256,750,0.115952
100000,10,72,256,1024,0.116725
100000,10,63,512,32,0.110817
100000,10,62,512,50,0.111336
100000,10,61,512,64,0.110971
100000,10,62,512,100,0.11075
100000,10,61,512,128,0.110275
100000,10,62,512,200,0.111173
100000,10,45,512,256,0.103843
100000,10,45,512,400,0.103152
100000,10,44,512,512,0.10368
100000,10,44,512,750,0.102833
100000,10,44,512,1024,0.102696
100000,10,45,1024,32,0.103908
100000,10,125,1024,50,0.141094
100000,10,125,1024,64,0.147475
100000,10,126,1024,100,0.137247
100000,10,126,1024,128,0.139754
100000,10,126,1024,200,0.138146
100000,10,63,1024,256,0.109787
100000,10,63,1024,400,0.108995
100000,10,62,1024,512,0.109798
100000,10,63,1024,750,0.108901
100000,10,62,1024,1024,0.108969
100000,10,63,2048,32,0.10825
100000,10,62,2048,50,0.108065
100000,10,64,2048,64,0.110691
100000,10,64,2048,100,0.108679
100000,10,64,2048,128,0.109788
100000,10,64,2048,200,0.109641
100000,10,64,2048,256,0.110381
100000,10,52,2048,400,0.104478
100000,10,52,2048,512,0.105481
100000,10,52,2048,750,0.104547
100000,10,52,2048,1024,0.105204
100000,10,52,4096,32,0.103746
100000,10,52,4096,50,0.103867
100000,10,102,4096,64,0.129382
100000,10,102,4096,100,0.126064
100000,10,103,4096,128,0.128877
100000,10,102,4096,200,0.12773
100000,10,102,4096,256,0.128873
100000,10,60,4096,400,0.108288
100000,10,81,4096,512,0.121923
100000,10,64,4096,750,0.142882
100000,10,60,4096,1024,0.109569
100000,10,80,8192,32,0.11742
100000,10,86,8192,50,0.120401
100000,10,79,8192,64,0.119042
100000,10,79,8192,100,0.116307
100000,10,80,8192,128,0.118527
100000,10,80,8192,200,0.145531
100000,10,78,8192,256,0.116701
100000,10,94,8192,400,0.130988
