elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
50000,256,200,0.253859,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,256,0.226275,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,400,0.2657,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,512,0.320696,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,750,0.243488,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,1024,0.326376,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,32,0.286073,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,50,0.297441,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,64,0.236141,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,100,0.291528,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,128,0.218417,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,200,0.237136,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,256,0.25738,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,400,0.242797,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,512,0.287676,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,750,0.218087,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,1024,0.296617,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,32,0.22131,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,50,0.253281,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,64,0.198726,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,100,0.25975,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,128,0.196615,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,200,0.23758,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,256,0.256793,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,400,0.242564,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,512,0.287045,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,750,0.220985,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,1024,0.290917,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,32,0.211574,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,50,0.296217,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,64,0.217919,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,100,0.289414,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,128,0.220526,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,200,0.262859,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,256,0.286097,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,400,0.267106,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,512,0.320757,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,750,0.242556,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,1024,0.326158,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,32,0.21053,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,50,0.296604,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,64,0.219562,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,100,0.289963,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,128,0.22069,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,200,0.263146,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,256,0.285799,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,400,0.267102,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,512,0.319412,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,750,0.24272,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,1024,0.326764,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,32,0.211594,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,50,0.296937,11268608,1635000,68,3,352,7000000,5767168,1024
