elements,blocks,threadsPerBlock,GPU
100000, 512, 128, 0.310483
100000, 512, 200, 0.313903
100000, 512, 256, 0.286049
100000, 512, 400, 0.318261
100000, 512, 512, 0.296415
100000, 512, 750, 0.335361
100000, 512, 1024, 0.330353
100000, 1024, 32, 0.377297
100000, 1024, 50, 0.360485
100000, 1024, 64, 0.311435
100000, 1024, 100, 0.335118
100000, 1024, 128, 0.283043
100000, 1024, 200, 0.313561
100000, 1024, 256, 0.285982
100000, 1024, 400, 0.317999
100000, 1024, 512, 0.296221
100000, 1024, 750, 0.334731
100000, 1024, 1024, 0.330462
100000, 2048, 32, 0.311737
100000, 2048, 50, 0.364793
100000, 2048, 64, 0.289742
100000, 2048, 100, 0.334346
100000, 2048, 128, 0.283047
100000, 2048, 200, 0.314068
100000, 2048, 256, 0.286276
100000, 2048, 400, 0.318074
100000, 2048, 512, 0.296037
100000, 2048, 750, 0.335013
100000, 2048, 1024, 0.329903
100000, 4096, 32, 0.280040
100000, 4096, 50, 0.364885
100000, 4096, 64, 0.289981
100000, 4096, 100, 0.335740
100000, 4096, 128, 0.285600
100000, 4096, 200, 0.317824
100000, 4096, 256, 0.289745
100000, 4096, 400, 0.318264
100000, 4096, 512, 0.296044
100000, 4096, 750, 0.335137
100000, 4096, 1024, 0.330777
100000, 8192, 32, 0.284824
100000, 8192, 50, 0.376358
100000, 8192, 64, 0.294077
100000, 8192, 100, 0.342328
100000, 8192, 128, 0.288612
100000, 8192, 200, 0.317067
100000, 8192, 256, 0.291858
100000, 8192, 400, 0.317847
100000, 8192, 512, 0.296058
100000, 8192, 750, 0.334929
100000, 8192, 1024, 0.330583
100000, 16384, 32, 0.284306
100000, 16384, 50, 0.384369
100000, 16384, 64, 0.289758
100000, 16384, 100, 0.342756
100000, 16384, 128, 0.285543
100000, 16384, 200, 0.315602
100000, 16384, 256, 0.291471
100000, 16384, 400, 0.318109
100000, 16384, 512, 0.296592
100000, 16384, 750, 0.334915
100000, 16384, 1024, 0.330376
100000, 32768, 32, 0.283226
100000, 32768, 50, 0.382142
100000, 32768, 64, 0.286422
100000, 32768, 100, 0.343424
100000, 32768, 128, 0.286299
100000, 32768, 200, 0.314993
100000, 32768, 256, 0.290776
100000, 32768, 400, 0.317637
100000, 32768, 512, 0.296182
100000, 32768, 750, 0.335048
100000, 32768, 1024, 0.330298
100000, 512, 32, 0.544054
100000, 512, 50, 0.383305
100000, 512, 64, 0.375411
100000, 512, 100, 0.330912
100000, 512, 128, 0.310538
100000, 512, 200, 0.312766
100000, 512, 256, 0.286253
100000, 512, 400, 0.318426
100000, 512, 512, 0.296378
100000, 512, 750, 0.334746
100000, 512, 1024, 0.330329
100000, 1024, 32, 0.376884
100000, 1024, 50, 0.360251
100000, 1024, 64, 0.311357
100000, 1024, 100, 0.334306
100000, 1024, 128, 0.283264
100000, 1024, 200, 0.313849
100000, 1024, 256, 0.286139
100000, 1024, 400, 0.317633
100000, 1024, 512, 0.296645
100000, 1024, 750, 0.335067
100000, 1024, 1024, 0.330463
100000, 2048, 32, 0.312007
100000, 2048, 50, 0.365263
100000, 2048, 64, 0.289629
100000, 2048, 100, 0.334000
100000, 2048, 128, 0.283324
100000, 2048, 200, 0.313528
100000, 2048, 256, 0.286251
100000, 2048, 400, 0.318330
100000, 2048, 512, 0.296333
100000, 2048, 750, 0.334972
100000, 2048, 1024, 0.330063
100000, 4096, 32, 0.283330
100000, 4096, 50, 0.365678
100000, 4096, 64, 0.289514
100000, 4096, 100, 0.344191
100000, 4096, 128, 0.285701
100000, 4096, 200, 0.316536
100000, 4096, 256, 0.292056
100000, 4096, 400, 0.318221
100000, 4096, 512, 0.296393
100000, 4096, 750, 0.334823
100000, 4096, 1024, 0.330511
100000, 8192, 32, 0.287780
100000, 8192, 50, 0.380304
100000, 8192, 64, 0.291132
100000, 8192, 100, 0.344854
100000, 8192, 128, 0.280455
100000, 8192, 200, 0.314976
100000, 8192, 256, 0.286310
100000, 8192, 400, 0.317948
100000, 8192, 512, 0.296250
100000, 8192, 750, 0.334131
100000, 8192, 1024, 0.330293
100000, 16384, 32, 0.282894
100000, 16384, 50, 0.382867
100000, 16384, 64, 0.293099
100000, 16384, 100, 0.344283
100000, 16384, 128, 0.283219
100000, 16384, 200, 0.317926
100000, 16384, 256, 0.288039
100000, 16384, 400, 0.317133
100000, 16384, 512, 0.296731
100000, 16384, 750, 0.334978
100000, 16384, 1024, 0.330354
100000, 32768, 32, 0.282074
100000, 32768, 50, 0.379681
100000, 32768, 64, 0.298822
100000, 32768, 100, 0.337787
100000, 32768, 128, 0.282728
100000, 32768, 200, 0.317194
100000, 32768, 256, 0.288557
100000, 32768, 400, 0.318080
100000, 32768, 512, 0.296360
100000, 32768, 750, 0.334701
100000, 32768, 1024, 0.330233
100000, 512, 32, 0.544239
100000, 512, 50, 0.383544
100000, 512, 64, 0.375505
100000, 512, 100, 0.330833
100000, 512, 128, 0.310541
100000, 512, 200, 0.314570
100000, 512, 256, 0.286089
100000, 512, 400, 0.318396
100000, 512, 512, 0.296789
100000, 512, 750, 0.335091
100000, 512, 1024, 0.330341
100000, 1024, 32, 0.377337
100000, 1024, 50, 0.360206
100000, 1024, 64, 0.311806
100000, 1024, 100, 0.335182
100000, 1024, 128, 0.283103
100000, 1024, 200, 0.314960
100000, 1024, 256, 0.286093
100000, 1024, 400, 0.317318
100000, 1024, 512, 0.296692
100000, 1024, 750, 0.335481
100000, 1024, 1024, 0.330168
100000, 2048, 32, 0.311899
