elements,blocks,threadsPerBlock,GPU
10000000, 8192, 64, 0.027138
10000000, 8192, 100, 0.027184
10000000, 8192, 128, 0.027476
10000000, 8192, 200, 0.027140
10000000, 8192, 256, 0.027342
10000000, 8192, 400, 0.027010
10000000, 8192, 512, 0.027086
10000000, 8192, 750, 0.027259
10000000, 8192, 1024, 0.027010
10000000, 16384, 32, 0.027315
10000000, 16384, 64, 0.027031
10000000, 16384, 100, 0.026983
10000000, 16384, 128, 0.027270
10000000, 16384, 200, 0.027010
10000000, 16384, 256, 0.027099
10000000, 16384, 400, 0.026988
10000000, 16384, 512, 0.026962
10000000, 16384, 750, 0.027151
10000000, 16384, 1024, 0.027361
10000000, 32768, 32, 0.026972
10000000, 32768, 64, 0.026977
10000000, 32768, 100, 0.027028
10000000, 32768, 128, 0.027358
10000000, 32768, 200, 0.027323
10000000, 32768, 256, 0.027014
10000000, 32768, 400, 0.026948
10000000, 32768, 512, 0.027283
10000000, 32768, 750, 0.027131
10000000, 32768, 1024, 0.027559
10000000, 32, 32, 0.030218
10000000, 32, 64, 0.028862
10000000, 32, 100, 0.027834
10000000, 32, 128, 0.027851
10000000, 32, 200, 0.027326
10000000, 32, 256, 0.027454
10000000, 32, 400, 0.027429
10000000, 32, 512, 0.026999
10000000, 32, 750, 0.027147
10000000, 32, 1024, 0.027039
10000000, 64, 32, 0.028457
10000000, 64, 64, 0.027687
10000000, 64, 100, 0.027265
10000000, 64, 128, 0.027581
10000000, 64, 200, 0.026595
10000000, 64, 256, 0.027369
10000000, 64, 400, 0.027091
10000000, 64, 512, 0.027041
10000000, 64, 750, 0.027113
10000000, 64, 1024, 0.027253
10000000, 128, 32, 0.027506
10000000, 128, 64, 0.027225
10000000, 128, 100, 0.027065
10000000, 128, 128, 0.035510
10000000, 128, 200, 0.027276
10000000, 128, 256, 0.027097
10000000, 128, 400, 0.027299
10000000, 128, 512, 0.027309
10000000, 128, 750, 0.027210
10000000, 128, 1024, 0.027059
10000000, 256, 32, 0.027235
10000000, 256, 64, 0.027176
10000000, 256, 100, 0.027173
10000000, 256, 128, 0.027164
10000000, 256, 200, 0.027147
10000000, 256, 256, 0.027209
10000000, 256, 400, 0.027116
10000000, 256, 512, 0.027023
10000000, 256, 750, 0.027019
10000000, 256, 1024, 0.026970
10000000, 512, 32, 0.027085
10000000, 512, 64, 0.027144
10000000, 512, 100, 0.027113
10000000, 512, 128, 0.027046
10000000, 512, 200, 0.027434
10000000, 512, 256, 0.027059
10000000, 512, 400, 0.026569
10000000, 512, 512, 0.027004
10000000, 512, 750, 0.027152
10000000, 512, 1024, 0.026998
10000000, 1024, 32, 0.027024
10000000, 1024, 64, 0.026987
10000000, 1024, 100, 0.027530
10000000, 1024, 128, 0.027016
10000000, 1024, 200, 0.027521
10000000, 1024, 256, 0.027111
10000000, 1024, 400, 0.027044
10000000, 1024, 512, 0.027042
10000000, 1024, 750, 0.027115
10000000, 1024, 1024, 0.027090
10000000, 2048, 32, 0.027134
10000000, 2048, 64, 0.027063
10000000, 2048, 100, 0.027138
10000000, 2048, 128, 0.027143
10000000, 2048, 200, 0.027115
10000000, 2048, 256, 0.027101
10000000, 2048, 400, 0.027122
10000000, 2048, 512, 0.026978
10000000, 2048, 750, 0.027013
10000000, 2048, 1024, 0.027027
10000000, 4096, 32, 0.027324
10000000, 4096, 64, 0.027145
10000000, 4096, 100, 0.026556
10000000, 4096, 128, 0.027041
10000000, 4096, 200, 0.027051
10000000, 4096, 256, 0.026613
10000000, 4096, 400, 0.026674
10000000, 4096, 512, 0.026959
10000000, 4096, 750, 0.026425
10000000, 4096, 1024, 0.026379
10000000, 8192, 32, 0.026512
10000000, 8192, 64, 0.026463
10000000, 8192, 100, 0.026566
10000000, 8192, 128, 0.026680
10000000, 8192, 200, 0.026482
10000000, 8192, 256, 0.026904
10000000, 8192, 400, 0.026375
10000000, 8192, 512, 0.026535
10000000, 8192, 750, 0.027019
10000000, 8192, 1024, 0.026611
10000000, 16384, 32, 0.026505
10000000, 16384, 64, 0.026535
10000000, 16384, 100, 0.026880
10000000, 16384, 128, 0.026460
10000000, 16384, 200, 0.026839
10000000, 16384, 256, 0.026581
10000000, 16384, 400, 0.026561
10000000, 16384, 512, 0.026488
10000000, 16384, 750, 0.026575
10000000, 16384, 1024, 0.026728
10000000, 32768, 32, 0.026516
10000000, 32768, 64, 17.997874
10000000, 32768, 100, 0.026816
10000000, 32768, 128, 0.026502
10000000, 32768, 200, 0.026453
10000000, 32768, 256, 0.026529
10000000, 32768, 400, 0.026531
10000000, 32768, 512, 0.026528
10000000, 32768, 750, 0.026643
10000000, 32768, 1024, 0.026645
10000000, 32, 32, 0.029317
10000000, 32, 64, 0.027834
10000000, 32, 100, 0.027213
10000000, 32, 128, 0.027097
10000000, 32, 200, 0.026721
10000000, 32, 256, 0.026597
10000000, 32, 400, 0.026602
10000000, 32, 512, 0.026890
10000000, 32, 750, 0.026972
10000000, 32, 1024, 0.026440
10000000, 64, 32, 0.027762
10000000, 64, 64, 0.027330
10000000, 64, 100, 0.026881
10000000, 64, 128, 0.026538
10000000, 64, 200, 0.026576
10000000, 64, 256, 0.026460
10000000, 64, 400, 0.026558
10000000, 64, 512, 0.026511
10000000, 64, 750, 0.026601
10000000, 64, 1024, 0.026553
10000000, 128, 32, 0.027054
