elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
50000,32,200,0.000584,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,256,0.000647,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,400,0.000607,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,512,0.000694,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,750,0.000682,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,1024,0.000651,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,32,0.000702,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,50,0.000682,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,64,0.000659,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,100,0.000581,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,128,0.000554,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,200,0.000621,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,256,0.000572,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,400,0.000666,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,512,0.00059,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,750,0.000647,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,1024,0.000698,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,32,0.000618,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,50,0.000584,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,64,0.00055,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,100,0.000506,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,128,0.00065,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,200,0.000588,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,256,0.000705,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,400,0.000582,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,512,0.000647,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,750,0.000664,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,1024,0.000611,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,32,0.000666,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,50,0.00069,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,64,0.000595,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,100,0.000691,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,128,0.000608,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,200,0.000515,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,256,0.000634,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,400,0.000713,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,512,0.000624,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,750,0.000704,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,1024,0.000626,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,32,0.000696,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,50,0.00064,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,64,0.0007,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,100,0.000636,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,128,0.000634,11268608,1635000,68,3,352,7000000,5767168,1024
