elements,threadsPerBlock,blocks,GPU
100000,128,800,8.818145
100000,128,800,8.843353
100000,128,800,8.835150
100000,128,800,8.892504
100000,128,1024,8.869734
100000,128,1024,8.823854
100000,128,1024,8.960816
100000,128,1024,8.846006
100000,128,1024,8.834951
100000,128,1024,8.837665
100000,128,1024,8.840992
100000,128,1024,8.904091
100000,128,1024,8.836029
100000,128,1024,8.835038
100000,128,1024,8.841812
100000,128,1024,8.839206
100000,128,1024,8.841471
100000,128,1024,8.851541
100000,128,1024,8.901006
100000,128,1024,8.847929
100000,128,1024,8.841835
100000,128,1024,8.874467
100000,128,1024,8.866576
100000,128,1024,8.841607
100000,128,1500,8.835577
100000,128,1500,8.893432
100000,128,1500,8.836748
100000,128,1500,8.838784
100000,128,1500,8.834459
100000,128,1500,8.828409
100000,128,1500,8.827388
100000,128,1500,8.866583
100000,128,1500,8.884870
100000,128,1500,8.847458
100000,128,1500,8.853018
100000,128,1500,8.832624
100000,128,1500,8.860550
100000,128,1500,8.867716
100000,128,1500,8.885176
100000,128,1500,8.899225
100000,128,1500,8.846282
100000,128,1500,8.859643
100000,128,1500,8.843480
100000,128,1500,8.829863
100000,256,1,3.074811
100000,256,1,3.136329
100000,256,1,3.077382
100000,256,1,3.597947
100000,256,1,4.133530
100000,256,1,4.100125
100000,256,1,3.077277
100000,256,1,3.072693
100000,256,1,3.058702
100000,256,1,3.052462
100000,256,1,3.056523
100000,256,1,3.048565
100000,256,1,3.049040
100000,256,1,3.048554
100000,256,1,3.057935
100000,256,1,3.048933
100000,256,1,3.048158
100000,256,1,3.048930
100000,256,1,3.090001
100000,256,1,3.051698
100000,256,2,3.117533
100000,256,2,3.126568
100000,256,2,3.093154
100000,256,2,3.238622
100000,256,2,3.093975
100000,256,2,3.085096
100000,256,2,3.088780
100000,256,2,3.084316
100000,256,2,3.084287
100000,256,2,3.087701
100000,256,2,3.092259
100000,256,2,3.084408
100000,256,2,3.086752
100000,256,2,3.086555
100000,256,2,3.084762
100000,256,2,3.089387
100000,256,2,3.084413
100000,256,2,3.084879
100000,256,2,3.087770
100000,256,2,3.093339
100000,256,4,3.094540
100000,256,4,3.092429
100000,256,4,3.237212
100000,256,4,3.093444
 100000,256,4,3.089177
100000,256,4,3.094308
100000,256,4,3.088254
100000,256,4,3.089925
100000,256,4,3.137961
100000,256,4,3.088996
100000,256,4,3.088275
100000,256,4,3.090570
100000,256,4,3.089591
100000,256,4,3.088937
100000,256,4,3.111703
100000,256,4,3.098039
100000,256,4,3.098420
100000,256,4,3.096171
100000,256,4,3.088900
100000,256,4,3.089307
100000,256,8,3.095336
100000,256,8,3.234676
100000,256,8,3.094375
100000,256,8,3.088394
100000,256,8,3.101469
100000,256,8,3.090052
100000,256,8,3.089509
100000,256,8,3.088849
100000,256,8,3.500785
100000,256,8,3.078367
100000,256,8,3.073786
100000,256,8,3.066045
100000,256,8,3.077418
100000,256,8,3.065350
100000,256,8,3.073701
100000,256,8,3.073432
100000,256,8,3.071081
100000,256,8,3.064943
100000,256,8,3.074384
100000,256,8,3.073702
100000,256,16,3.202999
100000,256,16,3.075907
100000,256,16,3.066472
100000,256,16,3.068822
100000,256,16,3.065754
100000,256,16,3.140024
100000,256,16,3.075564
100000,256,16,3.065819
100000,256,16,3.071415
100000,256,16,3.065891
100000,256,16,3.063855
100000,256,16,3.064778
100000,256,16,3.073969
100000,256,16,3.065425
100000,256,16,3.078867
100000,256,16,3.071220
100000,256,16,3.214378
100000,256,16,3.079529
100000,256,16,3.068026
100000,256,16,3.071010
100000,256,32,3.066314
100000,256,32,3.064978
100000,256,32,3.067728
100000,256,32,3.090809
100000,256,32,3.089102
100000,256,32,3.088315
100000,256,32,3.090015
100000,256,32,3.092579
100000,256,32,3.109668
100000,256,32,3.089255
100000,256,32,3.088706
100000,256,32,3.095246
100000,256,32,3.267505
100000,256,32,3.103859
100000,256,32,3.093237
100000,256,32,3.213306
100000,256,32,3.104199
100000,256,32,3.094701
100000,256,32,3.099283
100000,256,32,4.156566
100000,256,64,3.643175
100000,256,64,3.120928
100000,256,64,3.132091
100000,256,64,3.131875
100000,256,64,3.130139
100000,256,64,3.122170
100000,256,64,3.128815
100000,256,64,3.127924
100000,256,64,3.120332
100000,256,64,3.132823
100000,256,64,3.129602
100000,256,64,3.127290
100000,256,64,3.121671
100000,256,64,3.244601
100000,256,64,3.160929
100000,256,64,3.152450
100000,256,64,3.146188
100000,256,64,3.150028
